     0/399      2.7G     0.112   0.02289   0.05739    0.1923        22       640         0         0 0.0004613 9.997e-05   0.09371   0.01747    0.0515
     1/399     2.99G   0.09569   0.02051   0.04644    0.1626        23       640         0         0  0.004527 0.0009182   0.08334   0.01598   0.03889
     2/399     2.99G   0.08558   0.02061   0.03679     0.143        24       640    0.1429  0.001504   0.03518  0.009149   0.07483   0.01516   0.02791
     3/399     2.99G   0.07662   0.02053   0.02889     0.126        28       640   0.01901   0.09774   0.06046   0.01448    0.0655   0.01439   0.01997
     4/399     2.99G   0.07144   0.01906   0.02266    0.1132        25       640    0.1714    0.1111   0.08733   0.01927    0.0616    0.0133   0.01418
     5/399     2.99G   0.06902   0.01744   0.01986    0.1063        31       640    0.1299    0.1274    0.1312   0.04247   0.05861   0.01221   0.01073
     6/399     2.99G   0.06789   0.01637   0.01628    0.1005        30       640    0.1058    0.2951      0.19   0.04931   0.05819    0.0111  0.009009
     7/399     2.99G   0.06655   0.01534   0.01437   0.09626        20       640   0.09773    0.2314    0.2217   0.07344   0.06058   0.01021  0.008532
     8/399     2.99G   0.06386   0.01477   0.01419   0.09283        25       640   0.07746    0.3603    0.2432    0.0848   0.05343   0.01002  0.007975
     9/399     2.99G   0.06114   0.01504   0.01299   0.08917        30       640    0.0741    0.3021    0.1855   0.05532   0.05423  0.009511  0.007383
    10/399     2.99G   0.06076   0.01381   0.01135   0.08592        24       640     0.245    0.5148    0.4095     0.169   0.06172  0.008642  0.007718
    11/399     2.99G   0.05829   0.01371   0.01195   0.08395        31       640    0.1185    0.3687    0.2623   0.08114   0.05647   0.00864  0.007691
    12/399     2.99G   0.05762   0.01279  0.009807   0.08021        27       640    0.1148    0.3371    0.2468   0.08985   0.06135  0.007934  0.006987
    13/399     2.99G   0.06242   0.01233   0.01098   0.08574        23       640    0.1047    0.2967    0.2441   0.08489   0.05608   0.00812  0.006847
    14/399     2.99G   0.06169   0.01238  0.009971   0.08405        24       640    0.1346    0.3549     0.265   0.09296    0.0564  0.007713   0.00741
